stop_id,stop_name,up,down,stop_district,o,p_o
par_4_151,AVENIDA DE LA ILUSTRACION,59382,59382,2807908,14221296.0,0.0041755688089186805
par_4_152,LACOMA,50259,50259,2807908,14221296.0,0.003534066093554343
par_4_154,PITIS,24019,24019,2807908,14221296.0,0.001688945930103698
par_4_161,HERRERA ORIA,69284,69284,2807908,14221296.0,0.00487184852913546
par_4_162,BARRIO DEL PILAR,144053,144053,2807908,14221296.0,0.0101293862387788
par_4_326,MIRASIERRA,46370,46370,2807908,14221296.0,0.0032606029717685363
par_4_345,PACO DE LUCIA,46521,46521,2807908,14221296.0,0.0032712208507579056
par_4_187,FUENCARRAL,74748,74748,2807908,14221296.0,0.005256061050975944
par_4_188,BEGONA,161526,161526,2807908,14221296.0,0.011358036567131434
par_4_274,TRES OLIVOS,42704,42704,2807908,14221296.0,0.003002820558688885
par_4_175,ESTRELLA,89227,89227,2807914,4107990.0,0.02172035472335619
par_4_176,VINATEROS,87228,87228,2807914,4107990.0,0.02123374204903128
par_4_177,ARTILLEROS,111912,111912,2807914,4107990.0,0.02724252006455712
par_4_178,PAVONES,93754,93754,2807914,4107990.0,0.022822353511084494
par_4_179,VALDEBERNARDO,88443,88443,2807919,6475917.5,0.013657215367552166
par_4_180,VICALVARO,73526,73526,2807919,6475917.5,0.011353757981011956
par_4_181,SAN CIPRIANO,40392,40392,2807919,6475917.5,0.006237262905217678
par_4_182,PUERTA DE ARGANDA,124828,124828,2807919,6475917.5,0.019275724250656375
par_4_204,JOAQUIN VILUMBRALES,67810,67810,2800702,2193064.0,0.030920210262901586
par_4_210,PARQUE DE LISBOA,54006,54006,2800702,2193064.0,0.024625820313497464
par_4_205,PUERTA DEL SUR,127834,127834,2800703,1151905.5,0.11097611739851923
par_4_305,LA FORTUNA,34956,34956,2807406,781473.56,0.04473087981143316
par_4_211,ALCORCON CENTRAL,95231,95231,2800701,3607593.5,0.026397375424919687
par_4_212,PARQUE OESTE,48551,48551,2800701,3607593.5,0.013458001850818281
par_4_213,UNIVERSIDAD REY JUAN CARLOS,55965,55965,2809202,2961935.0,0.018894742794828383
par_4_214,MOSTOLES CENTRAL,103529,103529,2809202,2961935.0,0.03495316406335723
par_4_215,PRADILLO,78607,78607,2809204,3809660.0,0.020633599848805407
par_4_216,HOSPITAL DE MOSTOLES,66265,66265,2809204,3809660.0,0.017393940666621168
par_4_217,MANUELA MALASANA,43304,43304,2809204,3809660.0,0.0113668936335526
par_4_218,LORANCA,71314,71314,2805809,1505142.1,0.047380243244471015
par_4_219,HOSPITAL DE FUENLABRADA,47410,47410,2805807,1243312.9,0.038131994732218955
par_4_220,PARQUE EUROPA,47695,47695,2805807,1243312.9,0.0383612210241127
par_4_221,FUENLABRADA CENTRAL,106773,106773,2805804,2108956.0,0.05062836778007697
par_4_222,PARQUE DE LOS ESTADOS,59408,59408,2805802,1085052.2,0.054751280410689905
par_4_223,ARROYO CULEBRO,16467,16467,2806503,3802354.5,0.004330737704756356
par_4_224,CONSERVATORIO,33096,33096,2806503,3802354.5,0.00870408059006597
par_4_225,ALONSO DE MENDOZA,47810,47810,2806503,3802354.5,0.012573788162045386
par_4_226,GETAFE CENTRAL,150981,150981,2806503,3802354.5,0.0397072392908131
par_4_230,EL BERCIAL,33409,33409,2806503,3802354.5,0.008786398006813936
par_4_227,JUAN DE LA CIERVA,94161,94161,2806504,4788042.0,0.019665867592640166
par_4_228,EL CASAR,79111,79111,2806502,1934523.1,0.040894316008757974
par_4_229,LOS ESPARTALES,31219,31219,2806502,1934523.1,0.01613782724876964
par_4_231,EL CARRASCAL,78100,78100,2807405,3254560.2,0.023997097610959882
par_4_232,JULIAN BESTEIRO,60639,60639,2807404,1215875.9,0.04987268951281725
par_4_233,CASA DEL RELOJ,57360,57360,2807402,819704.5,0.06997643663051746
par_4_234,HOSPITAL SEVERO OCHOA,38331,38331,2807401,3465080.2,0.011062081462615477
par_4_235,LEGANES CENTRAL,92324,92324,2807401,3465080.2,0.026644115962393654
par_4_236,SAN NICASIO,56827,56827,2807403,2426838.5,0.023416061678599547
