direction,stop_district,stop_id,stop_lat,stop_lon,stop_name,line,service
1,2807911,par_6_5625,40.3948375940134,-3.7211197645845098,General Ricardos-Comandante Fontanes,119,emt
1,2807911,par_6_331,40.395945086471706,-3.71904659350945,General Ricardos-Iglesia,119,emt
1,2807911,par_6_330,40.3972481980869,-3.71665652542038,Marqués de Vadillo,119,emt
1,2807902,par_6_328,40.4011837137714,-3.71324236847408,Pirámides,119,emt
1,2807902,par_6_380,40.402440061370704,-3.7111126193445294,Pirámides Cercanías,119,emt
1,2807902,par_6_381,40.403024588006396,-3.70981726819561,Olmos,119,emt
1,2807902,par_6_325,40.403803235551,-3.70697567116073,Acacias,119,emt
1,2807902,par_6_323,40.40462384507449,-3.70388879821616,Embajadores-Acacias,119,emt
1,2807902,par_6_321,40.405296337299795,-3.7014444552815897,Embajadores-Ronda de Valencia,119,emt
1,2807902,par_6_85,40.40598750637211,-3.6988824025267295,Teatro Circo Price,119,emt
1,2807902,par_6_2308,40.4070706292156,-3.69404971205444,Atocha,119,emt
0,2807907,par_6_4541,40.4394601211344,-3.7159128999358,Cristo Rey,12,emt
0,2807907,par_6_803,40.4397703822539,-3.71672978416053,Cristo Rey-San Francisco de Sales,12,emt
0,2807907,par_6_2390,40.4412531814905,-3.71441077997028,San Francisco de Sales,12,emt
0,2807907,par_6_188,40.441641345595606,-3.71282301464341,Melquíades Álvarez,12,emt
0,2807907,par_6_805,40.438935987889295,-3.71252292421062,Metro Islas Filipinas,12,emt
0,2807907,par_6_806,40.4387741808254,-3.70879559596136,Cea Bermúdez,12,emt
0,2807907,par_6_807,40.4386069914841,-3.70371188570495,Canal,12,emt
0,2807907,par_6_808,40.4384723668506,-3.70065659921342,José Abascal-Santa Engracia,12,emt
0,2807907,par_6_4642,40.4383524093987,-3.69814386393263,Alonso Cano,12,emt
0,2807907,par_6_809,40.438266943286,-3.6958791038661896,José Abascal-Modesto Lafuente,12,emt
0,2807907,par_6_810,40.438061203333795,-3.69187578612889,Gregorio Marañón,12,emt
0,2807904,par_6_532,40.4378045860482,-3.68731411525436,Serrano-María de Molina,12,emt
0,2807904,par_6_793,40.4375900184512,-3.68246586788151,Velázquez-María de Molina,12,emt
0,2807904,par_6_791,40.4374429854916,-3.67989396954344,María de Molina,12,emt
0,2807904,par_6_789,40.4370081062393,-3.67723666309408,Intercambiador de Avenida de América,12,emt
0,2807904,par_6_786,40.4339641058081,-3.67396863858026,Diego de León,12,emt
0,2807904,par_6_811,40.431261336298,-3.6716533744766098,Francisco Silvela-Juan Bravo,12,emt
0,2807904,par_6_3829,40.428647663709,-3.66950165090627,Manuel Becerra,12,emt
0,2807904,par_6_685,40.4290976839144,-3.66645264083303,Alcalá-Parque Bomberos,12,emt
0,2807904,par_6_686,40.4299634534841,-3.66472810185446,Alcalá-Bocángel,12,emt
0,2807904,par_6_812,40.4293089156023,-3.66261135279352,América Española,12,emt
0,2807904,par_6_813,40.427528193191,-3.6620751855599,Sancho Dávila,12,emt
0,2807904,par_6_779,40.4252775419793,-3.66179380474838,Marqués de Zafra,12,emt
1,2807904,par_6_779,40.4252775419793,-3.66179380474838,Marqués de Zafra,12,emt
1,2807904,par_6_780,40.425912457071206,-3.6641931596137898,Rufino Blanco,12,emt
1,2807904,par_6_781,40.4267696162342,-3.6671016779919,Marqués de Mondejar,12,emt
1,2807904,par_6_1428,40.4277816668618,-3.6681373202898895,Manuel Becerra,12,emt
1,2807904,par_6_782,40.4295296803369,-3.66965185568517,Parque Eva Duarte,12,emt
1,2807904,par_6_784,40.4326674948981,-3.67230031847238,Francisco Silvela-Juan Bravo,12,emt
1,2807904,par_6_5296,40.4345404031892,-3.67401675392444,Diego de León,12,emt
1,2807904,par_6_788,40.4367162695859,-3.6763022696305097,Intercambiador de Avenida de América,12,emt
1,2807905,par_6_790,40.4376488487586,-3.67858724658908,María de Molina,12,emt
1,2807905,par_6_792,40.4378875761838,-3.68242170743303,Velázquez-María de Molina,12,emt
1,2807905,par_6_533,40.43803373898921,-3.6866520959977502,Serrano-María de Molina,12,emt
1,2807905,par_6_794,40.4385258872939,-3.690245634910701,Gregorio Marañón,12,emt
1,2807905,par_6_795,40.440529710236,-3.6911150759725695,Museo Ciencias Naturales,12,emt
1,2807907,par_6_796,40.441903878446,-3.69557937262783,San Juan de la Cruz,12,emt
1,2807907,par_6_797,40.4420304136409,-3.69775734626288,Ríos Rosas-Alonso Cano,12,emt
1,2807907,par_6_798,40.442224817059,-3.7013676190115694,Metro Ríos Rosas,12,emt
1,2807907,par_6_799,40.4422230034943,-3.7046339060169102,Juan Zorrilla,12,emt
1,2807907,par_6_800,40.4408194541698,-3.708758082626431,Estadio Vallehermoso,12,emt
1,2807907,par_6_801,40.4393680994748,-3.71257501180473,Metro Islas Filipinas,12,emt
1,2807907,par_6_4541,40.4394601211344,-3.7159128999358,Cristo Rey,12,emt
0,2807905,par_6_45,40.4516639829628,-3.69050253264753,Plaza Lima,120,emt
0,2807905,par_6_2382,40.4520258887487,-3.68948720389008,Lima-Santiago Bernabéu,120,emt
0,2807905,par_6_453,40.4517999715602,-3.6850505811785,Sagrados Corazones,120,emt
0,2807905,par_6_455,40.4515993144675,-3.68088548935179,Hospital San Rafael,120,emt
0,2807905,par_6_412,40.451604943545796,-3.67685221440327,Parque de Berlín,120,emt
0,2807905,par_6_457,40.451575998910606,-3.67409227741076,Ramón y Cajal-Víctor de la Serna,120,emt
0,2807905,par_6_459,40.4522791355938,-3.67091504917904,Ramón y Cajal-Gabriel y Galán,120,emt
0,2807905,par_6_410,40.4523845640708,-3.66826255667247,Alfonso XIII-Ramón y Cajal,120,emt
0,2807905,par_6_461,40.4525834722199,-3.66500950559235,Padre Claret-Ramón y Cajal,120,emt
0,2807915,par_6_408,40.453596286915996,-3.66119830617096,Avenida de la Paz 2,120,emt
0,2807915,par_6_463,40.4548735341424,-3.65839241842708,José Silva-Agastia,120,emt
0,2807915,par_6_383,40.456085395929605,-3.6559845801616,Arturo Soria,120,emt
0,2807916,par_6_385,40.457089979146,-3.65358054781033,Ulises-Asura,120,emt
0,2807916,par_6_387,40.45715125450021,-3.64989651253905,Moscatelar-Parma,120,emt
0,2807916,par_6_389,40.4571250388485,-3.64733909914007,Moscatelar-Milán,120,emt
0,2807916,par_6_391,40.4579015773839,-3.6437905021317705,Esperanza,120,emt
0,2807916,par_6_393,40.4596665375734,-3.64231269694124,Silvano-Esperanza,120,emt
0,2807916,par_6_395,40.4620213005725,-3.63925321693332,Silvano-Alcorisa,120,emt
0,2807916,par_6_397,40.4626389664811,-3.63751925237252,Silvano-José Rizal,120,emt
0,2807916,par_6_4080,40.462689832920006,-3.63481970935044,Machupichu-Silvano,120,emt
0,2807916,par_6_465,40.4626551907861,-3.63291923200311,Silvano-José Domingo Rus,120,emt
0,2807916,par_6_467,40.4630788042152,-3.62957883802418,Pedroñeras-Silvano,120,emt
0,2807916,par_6_469,40.464549141303,-3.63006289098391,Pedroñeras-El Provencio,120,emt
0,2807916,par_6_471,40.4650401503748,-3.6317129752200095,Mota del Cuervo,120,emt
0,2807916,par_6_473,40.464887001525604,-3.63418458708082,Motilla del Palancar,120,emt
0,2807916,par_6_475,40.4658365438166,-3.6359923714353903,Emigrantes-Carretera de Canillas,120,emt
0,2807916,par_6_477,40.467466567179706,-3.63692155113874,Emigrantes-Tribaldos,120,emt
0,2807916,par_6_4599,40.4696378034857,-3.6377268623403,Mar de Cristal,120,emt
0,2807916,par_6_479,40.4700440607211,-3.63920601128484,Ayacucho,120,emt
0,2807916,par_6_480,40.4700785641265,-3.6419258258742593,Sandro Pertini,120,emt
0,2807916,par_6_481,40.4704363878964,-3.64319441999885,Valdetorres de Jarama-Sandro Pertini,120,emt
0,2807916,par_6_483,40.4712682157485,-3.64508393422979,Valdetorres de Jarama-Ángel Luis Herrán,120,emt
0,2807916,par_6_485,40.47185546581429,-3.64640047614461,Valdetorres de Jarama-Rogelio Muñoz,120,emt
0,2807916,par_6_487,40.4727099762731,-3.64825194702036,Santos de la Humosa,120,emt
0,2807916,par_6_488,40.4729826909271,-3.64942321676021,Hortaleza,120,emt
1,2807916,par_6_488,40.4729826909271,-3.64942321676021,Hortaleza,120,emt
1,2807916,par_6_2892,40.4723947824351,-3.6482304888340495,Santos de la Humosa,120,emt
1,2807916,par_6_486,40.47170072211861,-3.64668543851004,Valdetorres de Jarama-Rogelio Muñoz,120,emt
1,2807916,par_6_484,40.471002432305795,-3.64508729414698,Valdetorres de Jarama-Ángel Luis Herrán,120,emt
1,2807916,par_6_482,40.4703395312208,-3.6436015883142,Valdetorres de Jarama-Sandro Pertini,120,emt
1,2807916,par_6_489,40.4690443194733,-3.64078980633241,Arequipa,120,emt
1,2807916,par_6_490,40.4690268847534,-3.63905409121109,Arequipa-Mar de Cristal,120,emt
1,2807916,par_6_478,40.467343262932786,-3.63722745672688,Emigrantes-Tribaldos,120,emt
1,2807916,par_6_476,40.4658077990729,-3.6363050599430697,Emigrantes-Carretera de Canillas,120,emt
1,2807916,par_6_474,40.4647742334883,-3.63421301773508,Motilla del Palancar,120,emt
1,2807916,par_6_472,40.4648327511498,-3.6317482661145095,Mota del Cuervo,120,emt
1,2807916,par_6_470,40.4641346425729,-3.6300785618840896,Pedroñeras-El Provencio,120,emt
1,2807916,par_6_468,40.463005868151996,-3.62973776462626,Canillas,120,emt
1,2807916,par_6_466,40.4628533824489,-3.63292035138646,Silvano-José Domingo Rus,120,emt
1,2807916,par_6_4081,40.462864739337505,-3.63495994814797,Machupichu-Silvano,120,emt
1,2807916,par_6_398,40.4628267165615,-3.6377805215653503,Silvano-José Rizal,120,emt
1,2807916,par_6_396,40.4617056730117,-3.6401252832977495,Silvano-Alcorisa,120,emt
1,2807916,par_6_394,40.4596512212085,-3.64263764520051,Silvano-Esperanza,120,emt
1,2807916,par_6_392,40.4579861172466,-3.6439785452001,Esperanza,120,emt
1,2807916,par_6_390,40.45737123430821,-3.64681071015532,Moscatelar-Milán,120,emt
