ds,y,t-168Mod
2020-07-13 10:00:00,524.717,524.013
2020-07-13 11:00:00,463.746,524.3942000000001
2020-07-13 12:00:00,543.916,401.10699999999997
2020-07-13 13:00:00,616.345,693.9361
2020-07-13 14:00:00,660.434,550.7138
2020-07-13 15:00:00,698.047,677.772
2020-07-13 16:00:00,611.655,652.591
2020-07-13 17:00:00,504.739,631.68
2020-07-13 18:00:00,700.304,750.7995
2020-07-13 19:00:00,530.161,518.5579
2020-07-13 20:00:00,519.706,578.33
2020-07-13 21:00:00,416.077,471.00460000000004
2020-07-13 22:00:00,322.405,338.436
2020-07-13 23:00:00,113.092,125.0886
2020-07-14 00:00:00,121.532,143.331
2020-07-14 01:00:00,90.127,102.739
2020-07-14 02:00:00,81.083,56.216
2020-07-14 03:00:00,50.113,57.42
2020-07-14 04:00:00,31.859,58.182300000000005
2020-07-14 05:00:00,111.896,125.36789999999999
2020-07-14 06:00:00,249.08,256.223
2020-07-14 07:00:00,310.291,528.91
2020-07-14 08:00:00,511.434,520.153
2020-07-14 09:00:00,516.445,559.2961
2020-07-14 10:00:00,434.91,566.144
2020-07-14 11:00:00,602.828,262.0303
2020-07-14 12:00:00,568.555,548.074
2020-07-14 13:00:00,635.386,659.4423000000002
2020-07-14 14:00:00,697.972,668.448
2020-07-14 15:00:00,607.197,522.3245999999999
2020-07-14 16:00:00,727.766,569.094
2020-07-14 17:00:00,546.325,774.8015
2020-07-14 18:00:00,726.304,586.879
2020-07-14 19:00:00,615.14,378.31429999999995
2020-07-14 20:00:00,580.289,732.174
2020-07-14 21:00:00,368.527,519.4288
2020-07-14 22:00:00,268.594,433.714
2020-07-14 23:00:00,159.743,145.1247
2020-07-15 00:00:00,212.016,153.83
2020-07-15 01:00:00,136.898,71.696
2020-07-15 02:00:00,93.963,27.419
2020-07-15 03:00:00,70.627,69.228
2020-07-15 04:00:00,25.505,77.431
2020-07-15 05:00:00,115.119,84.354
2020-07-15 06:00:00,122.222,163.502
2020-07-15 07:00:00,404.121,405.165
2020-07-15 08:00:00,431.113,459.286
2020-07-15 09:00:00,488.487,529.7149000000001
2020-07-15 10:00:00,329.928,355.59929999999997
2020-07-15 11:00:00,422.427,566.582
2020-07-15 12:00:00,464.579,535.7308
2020-07-15 13:00:00,567.056,401.7853
2020-07-15 14:00:00,650.968,621.499
2020-07-15 15:00:00,583.061,775.8674
2020-07-15 16:00:00,352.511,453.38439999999997
2020-07-15 17:00:00,631.903,709.763
2020-07-15 18:00:00,656.612,659.218
2020-07-15 19:00:00,633.936,799.0235
2020-07-15 20:00:00,699.889,402.69949999999994
2020-07-15 21:00:00,382.849,449.26
2020-07-15 22:00:00,298.333,358.5208
2020-07-15 23:00:00,123.403,126.06649999999999
2020-07-16 00:00:00,197.941,164.305
2020-07-16 01:00:00,131.09,106.194
2020-07-16 02:00:00,48.417,99.63
2020-07-16 03:00:00,52.803,22.128
2020-07-16 04:00:00,81.027,60.431
2020-07-16 05:00:00,125.87,106.28970000000001
2020-07-16 06:00:00,297.066,141.3643
2020-07-16 07:00:00,491.954,330.452
2020-07-16 08:00:00,391.838,508.011
2020-07-16 09:00:00,548.126,557.9211
2020-07-16 10:00:00,414.369,357.58869999999996
2020-07-16 11:00:00,503.663,644.5395000000001
2020-07-16 12:00:00,438.005,527.052
2020-07-16 13:00:00,479.147,513.2267
2020-07-16 14:00:00,606.516,740.864
2020-07-16 15:00:00,613.79,750.3837000000001
2020-07-16 16:00:00,442.185,436.4367
2020-07-16 17:00:00,720.242,638.94
2020-07-16 18:00:00,361.578,721.333
2020-07-16 19:00:00,772.435,584.252
2020-07-16 20:00:00,578.493,855.6328
2020-07-16 21:00:00,471.44,334.6413
2020-07-16 22:00:00,357.197,359.508
2020-07-16 23:00:00,262.337,172.917
2020-07-17 00:00:00,171.521,216.62850000000003
2020-07-17 01:00:00,121.64,84.2457
2020-07-17 02:00:00,82.533,101.627
2020-07-17 03:00:00,71.253,52.488
2020-07-17 04:00:00,60.939,70.352
