ds,2807905-2807901
2020-03-02 15:00:00,1280.779
2020-03-02 16:00:00,1267.413
2020-03-02 17:00:00,1487.327
2020-03-02 18:00:00,1816.207
2020-03-02 19:00:00,1582.162
2020-03-02 20:00:00,1103.693
2020-03-02 21:00:00,751.723
2020-03-02 22:00:00,402.081
2020-03-02 23:00:00,202.766
2020-03-03 00:00:00,153.163
2020-03-03 01:00:00,102.182
2020-03-03 02:00:00,89.874
2020-03-03 03:00:00,51.89
2020-03-03 04:00:00,70.869
2020-03-03 05:00:00,201.965
2020-03-03 06:00:00,384.36
2020-03-03 07:00:00,938.565
2020-03-03 08:00:00,1123.745
2020-03-03 09:00:00,1193.92
2020-03-03 10:00:00,870.211
2020-03-03 11:00:00,1010.778
2020-03-03 12:00:00,1025.292
2020-03-03 13:00:00,1086.79
2020-03-03 14:00:00,1492.968
2020-03-03 15:00:00,1330.768
2020-03-03 16:00:00,1410.177
2020-03-03 17:00:00,1525.793
2020-03-03 18:00:00,2123.564
2020-03-03 19:00:00,1776.404
2020-03-03 20:00:00,1252.36
2020-03-03 21:00:00,720.153
2020-03-03 22:00:00,422.586
2020-03-03 23:00:00,209.631
2020-03-04 00:00:00,195.167
2020-03-04 01:00:00,74.244
2020-03-04 02:00:00,78.662
2020-03-04 03:00:00,51.688
2020-03-04 04:00:00,101.97
2020-03-04 05:00:00,132.064
2020-03-04 06:00:00,417.658
2020-03-04 07:00:00,958.004
2020-03-04 08:00:00,1267.419
2020-03-04 09:00:00,1238.345
2020-03-04 10:00:00,958.553
2020-03-04 11:00:00,857.765
2020-03-04 12:00:00,1113.255
2020-03-04 13:00:00,1217.84
2020-03-04 14:00:00,1308.406
2020-03-04 15:00:00,1299.531
2020-03-04 16:00:00,1390.074
2020-03-04 17:00:00,1691.688
2020-03-04 18:00:00,1430.252
2020-03-04 19:00:00,1304.877
2020-03-04 20:00:00,1377.853
2020-03-04 21:00:00,804.882
2020-03-04 22:00:00,526.508
2020-03-04 23:00:00,211.095
2020-03-05 00:00:00,214.325
2020-03-05 01:00:00,139.583
2020-03-05 02:00:00,107.925
2020-03-05 03:00:00,69.616
2020-03-05 04:00:00,113.63
2020-03-05 05:00:00,153.276
2020-03-05 06:00:00,406.953
2020-03-05 07:00:00,902.978
2020-03-05 08:00:00,1276.097
2020-03-05 09:00:00,1167.646
2020-03-05 10:00:00,962.758
2020-03-05 11:00:00,943.538
2020-03-05 12:00:00,1108.071
2020-03-05 13:00:00,1279.711
2020-03-05 14:00:00,1602.704
2020-03-05 15:00:00,1255.823
2020-03-05 16:00:00,1347.836
2020-03-05 17:00:00,1693.224
2020-03-05 18:00:00,1759.418
2020-03-05 19:00:00,1281.295
2020-03-05 20:00:00,1435.685
2020-03-05 21:00:00,917.221
2020-03-05 22:00:00,533.178
2020-03-05 23:00:00,343.274
2020-03-06 00:00:00,335.246
2020-03-06 01:00:00,239.01
2020-03-06 02:00:00,88.896
2020-03-06 03:00:00,60.581
2020-03-06 04:00:00,83.694
2020-03-06 05:00:00,183.238
2020-03-06 06:00:00,370.674
2020-03-06 07:00:00,808.189
2020-03-06 08:00:00,1050.761
2020-03-06 09:00:00,1173.048
2020-03-06 10:00:00,1032.838
2020-03-06 11:00:00,1042.056
2020-03-06 12:00:00,1281.827
2020-03-06 13:00:00,1439.21
2020-03-06 14:00:00,1998.066
2020-03-06 15:00:00,2056.925
2020-03-06 16:00:00,1682.286
2020-03-06 17:00:00,1418.952
2020-03-06 18:00:00,913.165
2020-03-06 19:00:00,1334.042
2020-03-06 20:00:00,1175.763
2020-03-06 21:00:00,1233.53
2020-03-06 22:00:00,987.166
2020-03-06 23:00:00,391.619
2020-03-07 00:00:00,636.75
2020-03-07 01:00:00,425.354
2020-03-07 02:00:00,288.102
2020-03-07 03:00:00,157.787
2020-03-07 04:00:00,151.187
2020-03-07 05:00:00,221.262
2020-03-07 06:00:00,224.909
2020-03-07 07:00:00,207.14
2020-03-07 08:00:00,335.283
2020-03-07 09:00:00,537.796
2020-03-07 10:00:00,682.223
2020-03-07 11:00:00,816.115
2020-03-07 12:00:00,994.154
2020-03-07 13:00:00,1089.745
2020-03-07 14:00:00,1091.679
2020-03-07 15:00:00,1074.473
2020-03-07 16:00:00,1001.24
2020-03-07 17:00:00,1045.263
2020-03-07 18:00:00,1373.678
2020-03-07 19:00:00,1317.873
2020-03-07 20:00:00,1348.476
2020-03-07 21:00:00,1151.848
2020-03-07 22:00:00,833.463
2020-03-07 23:00:00,508.863
2020-03-08 00:00:00,652.687
2020-03-08 01:00:00,462.315
2020-03-08 02:00:00,225.791
2020-03-08 03:00:00,202.226
2020-03-08 04:00:00,162.054
2020-03-08 05:00:00,207.143
2020-03-08 06:00:00,239.386
2020-03-08 07:00:00,182.378
2020-03-08 08:00:00,222.123
2020-03-08 09:00:00,305.153
2020-03-08 10:00:00,516.668
2020-03-08 11:00:00,770.931
2020-03-08 12:00:00,845.367
2020-03-08 13:00:00,982.372
2020-03-08 14:00:00,998.456
2020-03-08 15:00:00,753.12
2020-03-08 16:00:00,934.249
2020-03-08 17:00:00,936.248
2020-03-08 18:00:00,883.615
2020-03-08 19:00:00,697.186
2020-03-08 20:00:00,466.818
2020-03-08 21:00:00,321.292
2020-03-08 22:00:00,303.862
2020-03-08 23:00:00,205.144
2020-03-09 00:00:00,202.813
2020-03-09 01:00:00,139.034
2020-03-09 02:00:00,126.917
2020-03-09 03:00:00,94.104
2020-03-09 04:00:00,118.396
2020-03-09 05:00:00,110.239
2020-03-09 06:00:00,398.979
2020-03-09 07:00:00,929.54
2020-03-09 08:00:00,1298.552
2020-03-09 09:00:00,1033.211
2020-03-09 10:00:00,861.896
2020-03-09 11:00:00,804.516
2020-03-09 12:00:00,877.902
2020-03-09 13:00:00,1022.548
2020-03-09 14:00:00,1180.39
2020-03-09 15:00:00,1300.724
2020-03-09 16:00:00,1124.283
2020-03-09 17:00:00,1460.851
2020-03-09 18:00:00,2009.334
2020-03-09 19:00:00,1643.837
2020-03-09 20:00:00,1178.594
2020-03-09 21:00:00,612.742
2020-03-09 22:00:00,403.151
2020-03-09 23:00:00,198.906
2020-03-10 00:00:00,119.485
2020-03-10 01:00:00,76.458
2020-03-10 02:00:00,72.806
2020-03-10 03:00:00,48.938
2020-03-10 04:00:00,85.894
2020-03-10 05:00:00,165.464
2020-03-10 06:00:00,409.098
2020-03-10 07:00:00,668.409
2020-03-10 08:00:00,1183.931
2020-03-10 09:00:00,928.907
2020-03-10 10:00:00,706.754
2020-03-10 11:00:00,875.463
2020-03-10 12:00:00,823.615
2020-03-10 13:00:00,1131.841
2020-03-10 14:00:00,1077.865
2020-03-10 15:00:00,1038.18
2020-03-10 16:00:00,1109.77
2020-03-10 17:00:00,1404.926
2020-03-10 18:00:00,1654.109
2020-03-10 19:00:00,1570.108
2020-03-10 20:00:00,1044.495
2020-03-10 21:00:00,697.61
2020-03-10 22:00:00,448.67
2020-03-10 23:00:00,231.375
2020-03-11 00:00:00,137.606
2020-03-11 01:00:00,65.039
2020-03-11 02:00:00,60.43
2020-03-11 03:00:00,68.173
2020-03-11 04:00:00,80.525
2020-03-11 05:00:00,142.882
2020-03-11 06:00:00,387.269
2020-03-11 07:00:00,596.016
2020-03-11 08:00:00,840.262
2020-03-11 09:00:00,778.656
2020-03-11 10:00:00,778.275
2020-03-11 11:00:00,666.636
2020-03-11 12:00:00,822.337
2020-03-11 13:00:00,938.026
2020-03-11 14:00:00,1023.282
2020-03-11 15:00:00,879.723
2020-03-11 16:00:00,994.8
2020-03-11 17:00:00,1098.251
2020-03-11 18:00:00,1209.677
2020-03-11 19:00:00,986.987
2020-03-11 20:00:00,825.779
2020-03-11 21:00:00,533.244
2020-03-11 22:00:00,341.508
2020-03-11 23:00:00,323.129
2020-03-12 00:00:00,237.698
2020-03-12 01:00:00,54.2
2020-03-12 02:00:00,56.526
2020-03-12 03:00:00,75.44
2020-03-12 04:00:00,61.319
2020-03-12 05:00:00,171.676
2020-03-12 06:00:00,292.451
2020-03-12 07:00:00,603.675
2020-03-12 08:00:00,696.538
2020-03-12 09:00:00,661.873
2020-03-12 10:00:00,688.496
2020-03-12 11:00:00,600.594
2020-03-12 12:00:00,668.183
2020-03-12 13:00:00,691.434
2020-03-12 14:00:00,888.636
2020-03-12 15:00:00,755.795
2020-03-12 16:00:00,754.566
2020-03-12 17:00:00,803.111
2020-03-12 18:00:00,835.621
2020-03-12 19:00:00,775.493
2020-03-12 20:00:00,561.264
2020-03-12 21:00:00,462.691
2020-03-12 22:00:00,258.151
2020-03-12 23:00:00,175.635
2020-03-13 00:00:00,77.735
2020-03-13 01:00:00,49.97
2020-03-13 02:00:00,37.426
2020-03-13 03:00:00,53.899
2020-03-13 04:00:00,76.193
2020-03-13 05:00:00,107.315
2020-03-13 06:00:00,245.635
2020-03-13 07:00:00,470.274
2020-03-13 08:00:00,571.486
2020-03-13 09:00:00,484.408
2020-03-13 10:00:00,487.354
2020-03-13 11:00:00,477.777
2020-03-13 12:00:00,452.318
2020-03-13 13:00:00,549.392
2020-03-13 14:00:00,653.104
2020-03-13 15:00:00,583.636
2020-03-13 16:00:00,495.622
2020-03-13 17:00:00,406.223
2020-03-13 18:00:00,402.625
2020-03-13 19:00:00,309.47
2020-03-13 20:00:00,277.053
2020-03-13 21:00:00,213.051
2020-03-13 22:00:00,124.55
2020-03-13 23:00:00,80.701
2020-03-14 00:00:00,64.926
2020-03-14 01:00:00,53.614
2020-03-14 02:00:00,17.642
2020-03-14 03:00:00,24.906
2020-03-14 04:00:00,30.908
2020-03-14 05:00:00,23.008
2020-03-14 06:00:00,42.338
2020-03-14 07:00:00,91.268
2020-03-14 08:00:00,102.894
2020-03-14 09:00:00,84.42
2020-03-14 10:00:00,86.56
2020-03-14 11:00:00,118.304
2020-03-14 12:00:00,93.727
2020-03-14 13:00:00,132.763
2020-03-14 14:00:00,99.893
2020-03-14 15:00:00,84.233
2020-03-14 16:00:00,108.132
2020-03-14 17:00:00,108.95
2020-03-14 18:00:00,82.731
2020-03-14 19:00:00,94.559
2020-03-14 20:00:00,113.566
2020-03-14 21:00:00,79.656
2020-03-14 22:00:00,88.726
2020-03-14 23:00:00,21.545
2020-03-15 00:00:00,34.449
2020-03-15 01:00:00,36.225
2020-03-15 02:00:00,17.99
2020-03-15 03:00:00,4.83
2020-03-15 04:00:00,0.0
2020-03-15 05:00:00,11.076
2020-03-15 06:00:00,31.88
2020-03-15 07:00:00,67.174
2020-03-15 08:00:00,29.689
2020-03-15 09:00:00,62.353
2020-03-15 10:00:00,65.007
2020-03-15 11:00:00,71.364
2020-03-15 12:00:00,84.988
2020-03-15 13:00:00,74.427
2020-03-15 14:00:00,55.1
2020-03-15 15:00:00,99.267
2020-03-15 16:00:00,50.091
2020-03-15 17:00:00,68.955
2020-03-15 18:00:00,65.143
2020-03-15 19:00:00,59.081
2020-03-15 20:00:00,57.923
2020-03-15 21:00:00,60.54
2020-03-15 22:00:00,43.778
2020-03-15 23:00:00,31.979
2020-03-16 00:00:00,11.904
2020-03-16 01:00:00,38.248
2020-03-16 02:00:00,5.46
2020-03-16 03:00:00,12.155
2020-03-16 04:00:00,16.38
2020-03-16 05:00:00,33.059
2020-03-16 06:00:00,73.426
2020-03-16 07:00:00,187.955
2020-03-16 08:00:00,193.082
2020-03-16 09:00:00,137.585
2020-03-16 10:00:00,126.418
2020-03-16 11:00:00,161.174
2020-03-16 12:00:00,157.475
2020-03-16 13:00:00,177.045
2020-03-16 14:00:00,245.427
2020-03-16 15:00:00,231.986
2020-03-16 16:00:00,169.935
2020-03-16 17:00:00,139.077
2020-03-16 18:00:00,86.29
2020-03-16 19:00:00,112.833
2020-03-16 20:00:00,155.223
2020-03-16 21:00:00,71.365
2020-03-16 22:00:00,55.801
2020-03-16 23:00:00,21.306
2020-03-17 00:00:00,26.425
2020-03-17 01:00:00,5.483
2020-03-17 02:00:00,17.4
2020-03-17 03:00:00,16.812
2020-03-17 04:00:00,0.0
2020-03-17 05:00:00,31.638
2020-03-17 06:00:00,126.327
2020-03-17 07:00:00,93.853
2020-03-17 08:00:00,98.52
2020-03-17 09:00:00,184.696
2020-03-17 10:00:00,116.777
2020-03-17 11:00:00,55.508
2020-03-17 12:00:00,122.84
2020-03-17 13:00:00,97.305
2020-03-17 14:00:00,229.027
2020-03-17 15:00:00,181.158
2020-03-17 16:00:00,54.33
2020-03-17 17:00:00,128.042
2020-03-17 18:00:00,146.578
2020-03-17 19:00:00,78.189
2020-03-17 20:00:00,59.471
2020-03-17 21:00:00,77.332
2020-03-17 22:00:00,46.269
2020-03-17 23:00:00,36.092
2020-03-18 00:00:00,22.209
2020-03-18 01:00:00,26.108
2020-03-18 02:00:00,10.948
2020-03-18 03:00:00,9.724
2020-03-18 04:00:00,10.948
2020-03-18 05:00:00,54.144
2020-03-18 06:00:00,86.561
2020-03-18 07:00:00,135.085
2020-03-18 08:00:00,133.733
2020-03-18 09:00:00,110.24
2020-03-18 10:00:00,78.323
2020-03-18 11:00:00,100.81
2020-03-18 12:00:00,105.969
